,bft,fpkm,counts,misid
0,0.1,0.7209006484511875,118793,0.014405701625064238
1,0.11959798994974875,0.7181495177668503,125989,0.019625136064961586
2,0.1391959798994975,0.7167554482880816,133834,0.025730810382108896
3,0.15879396984924624,0.7130576901093804,142560,0.03270913115272459
4,0.17839195979899497,0.7103748276388457,149976,0.03897266635041324
5,0.19798994974874373,0.7078863244957877,157129,0.04533188734011674
6,0.21758793969849247,0.7061753072037196,165051,0.05263829399434976
7,0.23718592964824123,0.7042952984210253,171286,0.058638197693825805
8,0.25678391959798996,0.7020701164860955,180216,0.06739652186502876
9,0.27638190954773867,0.6975488152594475,190865,0.07796512086698057
10,0.2959798994974875,0.6949088133123563,197845,0.0848881781027086
11,0.3155778894472362,0.6936140976934768,207045,0.09415893293985167
12,0.3351758793969849,0.6899394085679791,216837,0.10404996846830138
13,0.3547738693467337,0.6876672933576337,226440,0.11369967080273487
14,0.3743718592964824,0.6835648350683359,238167,0.1253518507561093
15,0.39396984924623113,0.6817427631806542,248006,0.1350220908323046
16,0.41356783919597995,0.6758884938484556,260687,0.14741379310344827
17,0.43316582914572865,0.667878587435462,282999,0.16783770199022532
18,0.45276381909547736,0.665307996856792,295593,0.1788162015045913
19,0.4723618090452262,0.6622691396916668,309588,0.1908622585307446
20,0.4919597989949749,0.6604886086734021,319059,0.19899478071397808
21,0.5115577889447236,0.657007127366799,335065,0.2126745856420285
22,0.5311557788944724,0.6528970972154087,352238,0.22690982845946778
23,0.5507537688442211,0.6489620215108381,371725,0.24252125108979952
24,0.5703517587939698,0.644348541672286,390648,0.2570745110045066
25,0.5899497487437186,0.6411558887956366,405763,0.2684918359746969
26,0.6095477386934673,0.6361589828612265,432644,0.28808818767568783
27,0.629145728643216,0.6318590483667462,458265,0.3057646555374972
28,0.6487437185929649,0.6273426418737862,480106,0.32012004634110697
29,0.6683417085427136,0.6230250441029068,503638,0.33511413209297064
30,0.6879396984924623,0.6194555387147365,527439,0.34972948759041217
31,0.7075376884422111,0.6165945304004494,544897,0.36027578881622874
32,0.7271356783919598,0.6109572963311277,579801,0.3808644158147243
33,0.7467336683417085,0.6055481182308857,614306,0.40006116634919997
34,0.7663316582914573,0.6031918067718065,632890,0.4101059210547555
35,0.785929648241206,0.5994841008618415,662053,0.4255977935226423
36,0.8055276381909547,0.5963118287441914,686112,0.4380786372603254
37,0.8251256281407036,0.5878917528476398,744100,0.46642506722697175
38,0.8447236180904523,0.5832615503706784,781033,0.48319269808301046
39,0.864321608040201,0.5767872475865294,828641,0.5037151280907785
40,0.8839195979899498,0.5740362404271501,851511,0.5133915002629332
41,0.9035175879396985,0.572360199253881,868637,0.5206944800920675
42,0.9231155778894472,0.5700157380713836,894116,0.5316102922578123
43,0.942713567839196,0.5680667373549864,912070,0.5393474304708341
44,0.9623115577889447,0.5655549491317762,938539,0.5506663713787024
45,0.9819095477386934,0.5613274236086954,977771,0.5672015150174632
46,1.0015075376884424,0.557959769580439,1009976,0.5804680445086146
47,1.021105527638191,0.5515283869218995,1071350,0.6046356187181453
48,1.0407035175879398,0.5484515493465253,1099826,0.6155255633550296
49,1.0603015075376885,0.5459651495818855,1131242,0.6274405773464746
50,1.0798994974874372,0.5421139385892276,1174734,0.6436032721816157
51,1.0994974874371861,0.5336557459159096,1259187,0.673065774639896
52,1.1190954773869348,0.5293459502279925,1304058,0.687898392840967
53,1.1386934673366835,0.5251569248348403,1345856,0.7016044033259163
54,1.1582914572864322,0.520330928446279,1401541,0.7193299837457374
55,1.177889447236181,0.5162971329347777,1448016,0.7337805279545652
56,1.1974874371859299,0.5069048291263814,1536524,0.7600925938460289
57,1.2170854271356786,0.5038313600128201,1570678,0.7698872218306313
58,1.2366834170854273,0.501935943855922,1591706,0.7759260397553318
59,1.256281407035176,0.49965152266408575,1618824,0.7839016492772471
60,1.2758793969849247,0.4964666980022884,1654698,0.7944838580505754
61,1.2954773869346734,0.4956825088156979,1665517,0.7977130995340364
62,1.3150753768844223,0.4950400119553232,1673865,0.8002723177264273
63,1.334673366834171,0.4942234529311448,1684921,0.8037527133619583
64,1.3542713567839197,0.4941545301668385,1685828,0.8040488863800349
65,1.3738693467336685,0.49403569422833243,1687729,0.80468268942751
66,1.3934673366834172,0.4935277925444286,1693767,0.8067874013324922
67,1.413065326633166,0.4935249202497198,1693824,0.8068078590472346
68,1.4326633165829148,0.49348399944659904,1694330,0.806995394075425
69,1.4522613065326635,0.4934529482463599,1694662,0.8071230052054433
70,1.4718592964824122,0.4933972771442924,1695963,0.8076341949776619
71,1.491457286432161,0.4933537584315576,1696733,0.8079458072840664
72,1.5110552763819096,0.4932907099817019,1698028,0.8084830876705248
73,1.5306532663316585,0.49318618336877607,1699487,0.8091083149138903
74,1.5502512562814073,0.49319069958902106,1700253,0.8094449397772107
75,1.569849246231156,0.4931824252194992,1700368,0.8094971806701151
76,1.5894472361809047,0.4932164197077827,1701201,0.8098852021663947
77,1.6090452261306534,0.4931527513058417,1702054,0.8102872026835967
78,1.628643216080402,0.4931289879803795,1702252,0.8103830779765996
79,1.648241206030151,0.4930885877355355,1702741,0.8106256509990097
80,1.6678391959798997,0.49308422548840314,1702861,0.8106873902828658
81,1.6874371859296484,0.49308422548840314,1702861,0.8106873902828658
82,1.7070351758793971,0.4930715547467857,1703014,0.8107691280994442
83,1.7266331658291458,0.49307374385197883,1703224,0.8108831968480125
84,1.7462311557788945,0.49306349486294193,1703316,0.810934547344412
85,1.7658291457286435,0.4930395679037771,1703418,0.8109930549689476
86,1.7854271356783922,0.49302383610291484,1703553,0.8110715512033536
87,1.8050251256281409,0.49299443518362523,1703764,0.8111971779699033
88,1.8246231155778896,0.49300820773710813,1704006,0.8113437533846402
89,1.8442211055276383,0.4929384810200485,1704520,0.8116582491582491
90,1.863819095477387,0.49293725775014874,1704563,0.8116853762126643
91,1.883417085427136,0.49294203902963357,1704595,0.8117058447866227
92,1.9030150753768846,0.49294203902963357,1704595,0.8117058447866227
93,1.9226130653266333,0.4929336686687786,1704658,0.8117472762939859
94,1.942211055276382,0.4929336686687786,1704658,0.8117472762939859
95,1.9618090452261308,0.49292346256537795,1704791,0.8118387725980208
96,1.9814070351758795,0.49292346256537795,1704791,0.8118387725980208
97,2.0010050251256284,0.4929223779090579,1704941,0.8119460475038347
98,2.020603015075377,0.4929223779090579,1704941,0.8119460475038347
99,2.040201005025126,0.4929223779090579,1704941,0.8119460475038347
100,2.0597989949748743,0.4929223779090579,1704941,0.8119460475038347
101,2.079396984924623,0.4929070207300797,1705028,0.8120118937391523
102,2.098994974874372,0.492910168118619,1705076,0.812048637802725
103,2.1185929648241206,0.492910168118619,1705076,0.812048637802725
104,2.1381909547738696,0.492910168118619,1705076,0.812048637802725
105,2.1577889447236185,0.492910168118619,1705076,0.812048637802725
106,2.177386934673367,0.492910168118619,1705076,0.812048637802725
107,2.196984924623116,0.492910168118619,1705076,0.812048637802725
108,2.2165829145728644,0.492910168118619,1705076,0.812048637802725
109,2.2361809045226133,0.4929392301459112,1705373,0.8123009343588596
110,2.255778894472362,0.4929392301459112,1705373,0.8123009343588596
111,2.2753768844221107,0.49292653103476186,1705532,0.8124400065052818
112,2.2949748743718597,0.49292653103476186,1705532,0.8124400065052818
113,2.314572864321608,0.49292379506524586,1705558,0.8124634312311502
114,2.334170854271357,0.49292379506524586,1705558,0.8124634312311502
115,2.3537688442211055,0.4929108116675311,1705660,0.8125581170710892
116,2.3733668341708545,0.4928906879422442,1705719,0.812613594056337
117,2.3929648241206034,0.4928857037701002,1705828,0.8127168972800156
118,2.412562814070352,0.4928857037701002,1705828,0.8127168972800156
119,2.432160804020101,0.4928857037701002,1705828,0.8127168972800156
120,2.4517587939698493,0.49288060519275656,1705869,0.8127570846712893
121,2.4713567839195982,0.49288060519275656,1705869,0.8127570846712893
122,2.4909547738693467,0.49288060519275656,1705869,0.8127570846712893
123,2.5105527638190956,0.4928458634720618,1706133,0.8130255567738837
124,2.5301507537688446,0.4928458634720618,1706133,0.8130255567738837
125,2.549748743718593,0.4928453253254778,1706204,0.8130992602299009
126,2.569346733668342,0.4928453253254778,1706204,0.8130992602299009
127,2.5889447236180905,0.4928453253254778,1706204,0.8130992602299009
128,2.6085427135678394,0.4928453253254778,1706204,0.8130992602299009
129,2.6281407035175883,0.4928381243422832,1706250,0.8131490553860597
130,2.647738693467337,0.4928381243422832,1706250,0.8131490553860597
131,2.6673366834170857,0.4928318173601535,1706295,0.8131993450930566
132,2.6869346733668342,0.4928318173601535,1706295,0.8131993450930566
133,2.706532663316583,0.4928318173601535,1706295,0.8131993450930566
134,2.726130653266332,0.4928318173601535,1706295,0.8131993450930566
135,2.7457286432160806,0.4928294632687137,1706317,0.8132247375452397
136,2.7653266331658295,0.4928294632687137,1706317,0.8132247375452397
137,2.784924623115578,0.4928294632687137,1706317,0.8132247375452397
138,2.804522613065327,0.4928294632687137,1706317,0.8132247375452397
139,2.8241206030150754,0.4928294632687137,1706317,0.8132247375452397
140,2.8437185929648243,0.4928294632687137,1706317,0.8132247375452397
141,2.8633165829145732,0.4928235551304454,1706471,0.8134145760180492
142,2.8829145728643217,0.4928235551304454,1706471,0.8134145760180492
143,2.9025125628140707,0.4928235551304454,1706471,0.8134145760180492
144,2.922110552763819,0.4928235551304454,1706471,0.8134145760180492
145,2.941708542713568,0.4928235551304454,1706471,0.8134145760180492
146,2.961306532663317,0.4928235551304454,1706471,0.8134145760180492
147,2.9809045226130655,0.49282457437799837,1706498,0.8134495858991212
148,3.0005025125628144,0.4928183170527531,1706538,0.813502347429316
149,3.020100502512563,0.4928183170527531,1706538,0.813502347429316
150,3.039698492462312,0.4928183170527531,1706538,0.813502347429316
151,3.0592964824120603,0.4928183170527531,1706538,0.813502347429316
152,3.0788944723618092,0.4928081306219234,1706577,0.8135556038970879
153,3.098492462311558,0.4928081306219234,1706577,0.8135556038970879
154,3.1180904522613067,0.4928081306219234,1706577,0.8135556038970879
155,3.1376884422110556,0.4928081306219234,1706577,0.8135556038970879
156,3.157286432160804,0.4928081306219234,1706577,0.8135556038970879
157,3.176884422110553,0.4928035897550413,1706634,0.8136362303183767
158,3.196482412060302,0.4928035897550413,1706634,0.8136362303183767
159,3.2160804020100504,0.4928035897550413,1706634,0.8136362303183767
160,3.2356783919597993,0.4928035897550413,1706634,0.8136362303183767
161,3.255276381909548,0.4928035897550413,1706634,0.8136362303183767
162,3.2748743718592968,0.4928035897550413,1706634,0.8136362303183767
163,3.2944723618090457,0.4928035897550413,1706634,0.8136362303183767
164,3.314070351758794,0.4928035897550413,1706634,0.8136362303183767
165,3.333668341708543,0.4928108074236423,1706694,0.8137274670323023
166,3.3532663316582916,0.4928108074236423,1706694,0.8137274670323023
167,3.3728643216080405,0.4928108074236423,1706694,0.8137274670323023
168,3.392462311557789,0.4928108074236423,1706694,0.8137274670323023
169,3.412060301507538,0.4928108074236423,1706694,0.8137274670323023
170,3.431658291457287,0.4928108074236423,1706694,0.8137274670323023
171,3.4512562814070353,0.49281318285281783,1706723,0.8137735805248114
172,3.4708542713567843,0.49281318285281783,1706723,0.8137735805248114
173,3.4904522613065327,0.49281569014332205,1706746,0.8138105697936937
174,3.5100502512562817,0.49281569014332205,1706746,0.8138105697936937
175,3.5296482412060306,0.49281381534864704,1706763,0.8138384354957263
176,3.549246231155779,0.49281381534864704,1706763,0.8138384354957263
177,3.568844221105528,0.49281381534864704,1706763,0.8138384354957263
178,3.5884422110552765,0.49281381534864704,1706763,0.8138384354957263
179,3.6080402010050254,0.49281381534864704,1706763,0.8138384354957263
180,3.627638190954774,0.49281381534864704,1706763,0.8138384354957263
181,3.647236180904523,0.4928041569798453,1706785,0.8138759205389945
182,3.6668341708542718,0.4928041569798453,1706785,0.8138759205389945
183,3.6864321608040203,0.49281331981042104,1706823,0.8139417660327926
184,3.706030150753769,0.49281331981042104,1706823,0.8139417660327926
185,3.7256281407035177,0.49281331981042104,1706823,0.8139417660327926
186,3.7452261306532666,0.49281331981042104,1706823,0.8139417660327926
187,3.7648241206030155,0.49281331981042104,1706823,0.8139417660327926
188,3.784422110552764,0.49281331981042104,1706823,0.8139417660327926
189,3.804020100502513,0.49281331981042104,1706823,0.8139417660327926
190,3.8236180904522614,0.49281331981042104,1706823,0.8139417660327926
191,3.8432160804020103,0.49281331981042104,1706823,0.8139417660327926
192,3.862814070351759,0.49281331981042104,1706823,0.8139417660327926
193,3.8824120603015078,0.49281331981042104,1706823,0.8139417660327926
194,3.9020100502512567,0.49281331981042104,1706823,0.8139417660327926
195,3.921608040201005,0.49281331981042104,1706823,0.8139417660327926
196,3.941206030150754,0.49281331981042104,1706823,0.8139417660327926
197,3.9608040201005026,0.49281331981042104,1706823,0.8139417660327926
198,3.9804020100502515,0.49281331981042104,1706823,0.8139417660327926
199,4.0,0.4928148095862617,1707096,0.8146896465775718
